,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
16,1823,NA,,,,,,,,,,,,,,,
17,1824,NA,,,,,,,,,,,,,,,
18,1825,NA,,,,,,,,,,,,,,,
19,1826,NA,,,,,,,,,,,,,,,
20,1827,NA,,,,,,,,,,,,,,,
21,1828,NA,,,,,,,,,,,,,,,
22,1829,NA,,,,,,,,,,,,,,,
23,1830,NA,,,,,,,,,,,,,,,
24,1831,NA,,,,,,,,,,,,,,,
25,1832,NA,,,,,,,,,,,,,,,
26,1833,NA,,,,,,,,,,,,,,,
27,1834,NA,,,,,,,,,,,,,,,
28,1835,NA,,,,,,,,,,,,,,,
29,1836,NA,,,,,,,,,,,,,,,
30,1837,NA,,,,,,,,,,,,,,,
31,1838,NA,,,,,,,,,,,,,,,
32,1839,NA,,,,,,,,,,,,,,,
33,1840,NA,,,,,,,,,,,,,,,
34,1841,NA,,,,,,,,,,,,,,,
35,1842,NA,,,,,,,,,,,,,,,
36,1843,NA,,,,,,,,,,,,,,,
37,1844,NA,,,,,,,,,,,,,,,
38,1845,NA,,,,,,,,,,,,,,,
39,1846,NA,,,,,,,,,,,,,,,
40,1847,NA,,,,,,,,,,,,,,,
41,1848,NA,,,,,,,,,,,,,,,
42,1849,NA,,,,,,,,,,,,,,,
43,1850,NA,,,,,,,,,,,,,,,
44,1851,NA,,,,,,,,,,,,,,,
45,1852,NA,,,,,,,,,,,,,,,
46,1853,NA,,,,,,,,,,,,,,,
47,1854,NA,,,,,,,,,,,,,,,
48,1855,NA,,,,,,,,,,,,,,,
49,1856,NA,,,,,,,,,,,,,,,
50,1857,NA,,,,,,,,,,,,,,,
51,1858,NA,,,,,,,,,,,,,,,
52,1859,NA,,,,,,,,,,,,,,,
53,1860,NA,1.0,14.0,5.0,"[[('seri', 4), ('communic', 4), ('tide', 3), ('first', 2), ('diurnal', 1)]]","[[('seri', 4), ('communic', 4), ('tide', 3), ('first', 2), ('diurnal', 1)]]","[[('seri', 4), ('communic', 4), ('tide', 3), ('first', 2), ('diurnal', 1)]]","[[('seri', 4), ('communic', 4), ('tide', 3), ('first', 2), ('diurnal', 1)]]",0.0,,0.0,,1.0,"[[('seri', 4)]]",1.0,"[[('seri', 4)]]"
54,1861,NA,,,,,,,,,,,,,,,
55,1862,NA,1.0,14.0,10.0,"[[('part', 3), ('author', 2), ('first', 2), ('eccentr', 1), ('moon', 1), ('present', 1), ('communic', 1), ('port', 1), ('parallact', 1), ('inequ', 1)]]","[[('part', 3), ('author', 2), ('first', 2), ('eccentr', 1), ('moon', 1), ('present', 1), ('communic', 1), ('port', 1), ('parallact', 1), ('inequ', 1)]]","[[('part', 3), ('author', 2), ('first', 2), ('eccentr', 1), ('moon', 1), ('present', 1), ('communic', 1), ('port', 1), ('parallact', 1), ('inequ', 1)]]","[[('part', 3), ('author', 2), ('first', 2), ('eccentr', 1), ('moon', 1), ('present', 1), ('communic', 1), ('port', 1), ('parallact', 1), ('inequ', 1)]]",0.0,,1.0,"[[('part', 3)]]",2.0,"[[('part', 3), ('author', 2)]]",2.0,"[[('part', 3), ('author', 2)]]"
56,1863,NA,,,,,,,,,,,,,,,
57,1864,NA,,,,,,,,,,,,,,,
58,1865,NA,,,,,,,,,,,,,,,
59,1866,NA,,,,,,,,,,,,,,,
60,1867,NA,,,,,,,,,,,,,,,
61,1868,NA,,,,,,,,,,,,,,,
62,1869,NA,1.0,22.0,14.0,"[[('great', 3), ('stoni', 3), ('consequ', 2), ('consider', 2), ('coral', 2), ('collect', 2), ('public', 1), ('communic', 1), ('hand', 1), ('determin', 1)]]","[[('great', 3), ('stoni', 3), ('consequ', 2), ('consider', 2), ('coral', 2), ('collect', 2), ('public', 1), ('communic', 1), ('hand', 1), ('determin', 1), ('deep', 1), ('sea', 1), ('american', 1), ('speci', 1)]]","[[('great', 3), ('stoni', 3), ('consequ', 2), ('consider', 2), ('coral', 2), ('collect', 2), ('public', 1), ('communic', 1), ('hand', 1), ('determin', 1), ('deep', 1), ('sea', 1), ('american', 1), ('speci', 1)]]","[[('great', 3), ('stoni', 3), ('consequ', 2), ('consider', 2), ('coral', 2), ('collect', 2), ('public', 1), ('communic', 1), ('hand', 1), ('determin', 1), ('deep', 1), ('sea', 1), ('american', 1), ('speci', 1)]]",0.0,,1.0,"[[('great', 3)]]",3.0,"[[('great', 3), ('stoni', 3), ('consequ', 2)]]",4.0,"[[('great', 3), ('stoni', 3), ('consequ', 2), ('consider', 2)]]"
63,1870,NA,,,,,,,,,,,,,,,
64,1871,NA,,,,,,,,,,,,,,,
65,1872,NA,,,,,,,,,,,,,,,
66,1873,NA,,,,,,,,,,,,,,,
67,1874,NA,,,,,,,,,,,,,,,
68,1875,NA,,,,,,,,,,,,,,,
69,1876,NA,,,,,,,,,,,,,,,
70,1877,NA,,,,,,,,,,,,,,,
71,1878,NA,,,,,,,,,,,,,,,
72,1879,NA,1.0,24.0,11.0,"[[('magnet', 7), ('observ', 4), ('result', 2), ('arctic', 2), ('expedit', 2), ('disturb', 2), ('offic', 1), ('first', 1), ('local', 1), ('valu', 1)]]","[[('magnet', 7), ('observ', 4), ('result', 2), ('arctic', 2), ('expedit', 2), ('disturb', 2), ('offic', 1), ('first', 1), ('local', 1), ('valu', 1), ('declin', 1)]]","[[('magnet', 7), ('observ', 4), ('result', 2), ('arctic', 2), ('expedit', 2), ('disturb', 2), ('offic', 1), ('first', 1), ('local', 1), ('valu', 1), ('declin', 1)]]","[[('magnet', 7), ('observ', 4), ('result', 2), ('arctic', 2), ('expedit', 2), ('disturb', 2), ('offic', 1), ('first', 1), ('local', 1), ('valu', 1), ('declin', 1)]]",0.0,,1.0,"[[('magnet', 7)]]",2.0,"[[('magnet', 7), ('observ', 4)]]",3.0,"[[('magnet', 7), ('observ', 4), ('result', 2)]]"
73,1880,NA,,,,,,,,,,,,,,,
74,1881,NA,,,,,,,,,,,,,,,
75,1882,NA,,,,,,,,,,,,,,,
76,1883,NA,1.0,26.0,10.0,"[[('specimen', 7), ('littl', 5), ('depth', 3), ('insignific', 3), ('type', 3), ('duplic', 1), ('form', 1), ('perfect', 1), ('generic', 1), ('name', 1)]]","[[('specimen', 7), ('littl', 5), ('depth', 3), ('insignific', 3), ('type', 3), ('duplic', 1), ('form', 1), ('perfect', 1), ('generic', 1), ('name', 1)]]","[[('specimen', 7), ('littl', 5), ('depth', 3), ('insignific', 3), ('type', 3), ('duplic', 1), ('form', 1), ('perfect', 1), ('generic', 1), ('name', 1)]]","[[('specimen', 7), ('littl', 5), ('depth', 3), ('insignific', 3), ('type', 3), ('duplic', 1), ('form', 1), ('perfect', 1), ('generic', 1), ('name', 1)]]",0.0,,1.0,"[[('specimen', 7)]]",2.0,"[[('specimen', 7), ('littl', 5)]]",2.0,"[[('specimen', 7), ('littl', 5)]]"
77,1884,NA,,,,,,,,,,,,,,,
78,1885,NA,,,,,,,,,,,,,,,
79,1886,NA,,,,,,,,,,,,,,,
80,1887,NA,1.0,24.0,10.0,"[[('rim', 5), ('barrier', 5), ('elev', 3), ('reef', 3), ('format', 2), ('coral', 2), ('explan', 1), ('peripheri', 1), ('atol', 1), ('growth', 1)]]","[[('rim', 5), ('barrier', 5), ('elev', 3), ('reef', 3), ('format', 2), ('coral', 2), ('explan', 1), ('peripheri', 1), ('atol', 1), ('growth', 1)]]","[[('rim', 5), ('barrier', 5), ('elev', 3), ('reef', 3), ('format', 2), ('coral', 2), ('explan', 1), ('peripheri', 1), ('atol', 1), ('growth', 1)]]","[[('rim', 5), ('barrier', 5), ('elev', 3), ('reef', 3), ('format', 2), ('coral', 2), ('explan', 1), ('peripheri', 1), ('atol', 1), ('growth', 1)]]",0.0,,1.0,"[[('rim', 5)]]",2.0,"[[('rim', 5), ('barrier', 5)]]",2.0,"[[('rim', 5), ('barrier', 5)]]"
81,1888,NA,,,,,,,,,,,,,,,
82,1889,NA,,,,,,,,,,,,,,,
83,1890,NA,,,,,,,,,,,,,,,
84,1891,NA,,,,,,,,,,,,,,,
85,1892,NA,,,,,,,,,,,,,,,
86,1893,NA,,,,,,,,,,,,,,,
87,1894,NA,1.0,9.0,5.0,"[[('differ', 3), ('speci', 2), ('mani', 2), ('phenomenon', 1), ('dimorph', 1)]]","[[('differ', 3), ('speci', 2), ('mani', 2), ('phenomenon', 1), ('dimorph', 1)]]","[[('differ', 3), ('speci', 2), ('mani', 2), ('phenomenon', 1), ('dimorph', 1)]]","[[('differ', 3), ('speci', 2), ('mani', 2), ('phenomenon', 1), ('dimorph', 1)]]",0.0,,0.0,,1.0,"[[('differ', 3)]]",1.0,"[[('differ', 3)]]"
88,1895,NA,,,,,,,,,,,,,,,
89,1896,NA,,,,,,,,,,,,,,,
90,1897,NA,,,,,,,,,,,,,,,
91,1898,NA,1.0,23.0,6.0,"[[('observ', 7), ('live', 6), ('materi', 5), ('sea', 2), ('year', 2), ('work', 1)]]","[[('observ', 7), ('live', 6), ('materi', 5), ('sea', 2), ('year', 2), ('work', 1)]]","[[('observ', 7), ('live', 6), ('materi', 5), ('sea', 2), ('year', 2), ('work', 1)]]","[[('observ', 7), ('live', 6), ('materi', 5), ('sea', 2), ('year', 2), ('work', 1)]]",0.0,,1.0,"[[('observ', 7)]]",1.0,"[[('observ', 7)]]",2.0,"[[('observ', 7), ('live', 6)]]"
92,1899,NA,1.0,25.0,9.0,"[[('great', 5), ('salt', 5), ('lake', 4), ('flora', 3), ('present', 2), ('day', 2), ('fauna', 2), ('investig', 1), ('relat', 1)]]","[[('great', 5), ('salt', 5), ('lake', 4), ('flora', 3), ('present', 2), ('day', 2), ('fauna', 2), ('investig', 1), ('relat', 1)]]","[[('great', 5), ('salt', 5), ('lake', 4), ('flora', 3), ('present', 2), ('day', 2), ('fauna', 2), ('investig', 1), ('relat', 1)]]","[[('great', 5), ('salt', 5), ('lake', 4), ('flora', 3), ('present', 2), ('day', 2), ('fauna', 2), ('investig', 1), ('relat', 1)]]",0.0,,1.0,"[[('great', 5)]]",2.0,"[[('great', 5), ('salt', 5)]]",2.0,"[[('great', 5), ('salt', 5)]]"
93,1900,NA,,,,,,,,,,,,,,,
94,1901,NA,,,,,,,,,,,,,,,
95,1902,NA,,,,,,,,,,,,,,,
96,1903,NA,,,,,,,,,,,,,,,
97,1904,NA,,,,,,,,,,,,,,,
98,1905,NA,,,,,,,,,,,,,,,
99,1906,NA,,,,,,,,,,,,,,,
100,1907,NA,,,,,,,,,,,,,,,
101,1908,NA,,,,,,,,,,,,,,,
102,1909,NA,,,,,,,,,,,,,,,
103,1910,NA,,,,,,,,,,,,,,,
104,1911,NA,,,,,,,,,,,,,,,
105,1912,NA,1.0,10.0,10.0,"[[('level', 1), ('sea', 1), ('mound', 1), ('limeston', 1), ('coral', 1), ('reef', 1), ('upper', 1), ('surfac', 1), ('calcium', 1), ('carbon', 1)]]","[[('level', 1), ('sea', 1), ('mound', 1), ('limeston', 1), ('coral', 1), ('reef', 1), ('upper', 1), ('surfac', 1), ('calcium', 1), ('carbon', 1)]]","[[('level', 1), ('sea', 1), ('mound', 1), ('limeston', 1), ('coral', 1), ('reef', 1), ('upper', 1), ('surfac', 1), ('calcium', 1), ('carbon', 1)]]","[[('level', 1), ('sea', 1), ('mound', 1), ('limeston', 1), ('coral', 1), ('reef', 1), ('upper', 1), ('surfac', 1), ('calcium', 1), ('carbon', 1)]]",0.0,,1.0,"[[('level', 1)]]",2.0,"[[('level', 1), ('sea', 1)]]",2.0,"[[('level', 1), ('sea', 1)]]"
106,1913,NA,,,,,,,,,,,,,,,
107,1914,NA,,,,,,,,,,,,,,,
108,1915,NA,,,,,,,,,,,,,,,
109,1916,NA,,,,,,,,,,,,,,,
110,1917,NA,,,,,,,,,,,,,,,
111,1918,NA,,,,,,,,,,,,,,,
112,1919,NA,,,,,,,,,,,,,,,
113,1920,NA,,,,,,,,,,,,,,,
114,1921,NA,,,,,,,,,,,,,,,
115,1922,NA,,,,,,,,,,,,,,,
116,1923,NA,,,,,,,,,,,,,,,
117,1924,NA,,,,,,,,,,,,,,,
118,1925,NA,,,,,,,,,,,,,,,
119,1926,NA,,,,,,,,,,,,,,,
120,1927,NA,1.0,28.0,11.0,"[[('intrus', 4), ('path', 4), ('upper', 4), ('great', 3), ('around', 3), ('layer', 3), ('peridotit', 2), ('differ', 2), ('contin', 1), ('behav', 1)]]","[[('intrus', 4), ('path', 4), ('upper', 4), ('great', 3), ('around', 3), ('layer', 3), ('peridotit', 2), ('differ', 2), ('contin', 1), ('behav', 1), ('site', 1)]]","[[('intrus', 4), ('path', 4), ('upper', 4), ('great', 3), ('around', 3), ('layer', 3), ('peridotit', 2), ('differ', 2), ('contin', 1), ('behav', 1), ('site', 1)]]","[[('intrus', 4), ('path', 4), ('upper', 4), ('great', 3), ('around', 3), ('layer', 3), ('peridotit', 2), ('differ', 2), ('contin', 1), ('behav', 1), ('site', 1)]]",0.0,,1.0,"[[('intrus', 4)]]",2.0,"[[('intrus', 4), ('path', 4)]]",3.0,"[[('intrus', 4), ('path', 4), ('upper', 4)]]"
121,1928,NA,,,,,,,,,,,,,,,
122,1929,NA,,,,,,,,,,,,,,,
123,1930,NA,,,,,,,,,,,,,,,
124,1931,NA,,,,,,,,,,,,,,,
125,1932,NA,,,,,,,,,,,,,,,
126,1933,NA,,,,,,,,,,,,,,,
127,1934,NA,,,,,,,,,,,,,,,
128,1935,NA,,,,,,,,,,,,,,,
129,1936,NA,,,,,,,,,,,,,,,
130,1937,NA,,,,,,,,,,,,,,,
131,1938,NA,,,,,,,,,,,,,,,
132,1939,NA,1.0,26.0,9.0,"[[('geolog', 6), ('inform', 6), ('posit', 4), ('structur', 4), ('develop', 2), ('investig', 1), ('techniqu', 1), ('ocean', 1), ('obtain', 1)]]","[[('geolog', 6), ('inform', 6), ('posit', 4), ('structur', 4), ('develop', 2), ('investig', 1), ('techniqu', 1), ('ocean', 1), ('obtain', 1)]]","[[('geolog', 6), ('inform', 6), ('posit', 4), ('structur', 4), ('develop', 2), ('investig', 1), ('techniqu', 1), ('ocean', 1), ('obtain', 1)]]","[[('geolog', 6), ('inform', 6), ('posit', 4), ('structur', 4), ('develop', 2), ('investig', 1), ('techniqu', 1), ('ocean', 1), ('obtain', 1)]]",0.0,,1.0,"[[('geolog', 6)]]",2.0,"[[('geolog', 6), ('inform', 6)]]",2.0,"[[('geolog', 6), ('inform', 6)]]"
133,1940,NA,1.0,21.0,14.0,"[[('relat', 3), ('pressur', 3), ('general', 2), ('distribut', 2), ('area', 2), ('temperatur', 1), ('northern', 1), ('preliminari', 1), ('indic', 1), ('iceberg', 1)]]","[[('relat', 3), ('pressur', 3), ('general', 2), ('distribut', 2), ('area', 2), ('temperatur', 1), ('northern', 1), ('preliminari', 1), ('indic', 1), ('iceberg', 1), ('sever', 1), ('earli', 1), ('summer', 1), ('adjac', 1)]]","[[('relat', 3), ('pressur', 3), ('general', 2), ('distribut', 2), ('area', 2), ('temperatur', 1), ('northern', 1), ('preliminari', 1), ('indic', 1), ('iceberg', 1), ('sever', 1), ('earli', 1), ('summer', 1), ('adjac', 1)]]","[[('relat', 3), ('pressur', 3), ('general', 2), ('distribut', 2), ('area', 2), ('temperatur', 1), ('northern', 1), ('preliminari', 1), ('indic', 1), ('iceberg', 1), ('sever', 1), ('earli', 1), ('summer', 1), ('adjac', 1)]]",0.0,,1.0,"[[('relat', 3)]]",3.0,"[[('relat', 3), ('pressur', 3), ('general', 2)]]",4.0,"[[('relat', 3), ('pressur', 3), ('general', 2), ('distribut', 2)]]"
134,1941,NA,,,,,,,,,,,,,,,
135,1942,NA,,,,,,,,,,,,,,,
136,1943,NA,2.0,43.0,21.0,"[[('sea', 4), ('base', 3), ('fur', 3), ('vapor', 3), ('pressur', 3), ('data', 3), ('heavi', 2), ('ice', 2), ('camp', 2), ('zoolog', 2)]]","[[('sea', 4), ('base', 3), ('fur', 3), ('vapor', 3), ('pressur', 3), ('data', 3), ('heavi', 2), ('ice', 2), ('camp', 2), ('zoolog', 2), ('collector', 2), ('winter', 2), ('cloth', 2), ('climat', 2), ('ocean', 2), ('time', 1), ('expedit', 1), ('surfac', 1), ('differ', 1), ('annual', 1), ('evapor', 1)]]","[[('sea', 4), ('base', 3), ('fur', 3), ('vapor', 3), ('pressur', 3), ('data', 3), ('heavi', 2), ('ice', 2), ('camp', 2), ('zoolog', 2), ('collector', 2), ('winter', 2), ('cloth', 2), ('climat', 2), ('ocean', 2), ('time', 1), ('expedit', 1), ('surfac', 1), ('differ', 1), ('annual', 1), ('evapor', 1)]]","[[('sea', 4), ('base', 3), ('fur', 3), ('vapor', 3), ('pressur', 3), ('data', 3), ('heavi', 2), ('ice', 2), ('camp', 2), ('zoolog', 2), ('collector', 2), ('winter', 2), ('cloth', 2), ('climat', 2), ('ocean', 2), ('time', 1), ('expedit', 1), ('surfac', 1), ('differ', 1), ('annual', 1), ('evapor', 1)]]",0.0,,2.0,"[[('sea', 4), ('base', 3)]]",4.0,"[[('sea', 4), ('base', 3), ('fur', 3), ('vapor', 3)]]",5.0,"[[('sea', 4), ('base', 3), ('fur', 3), ('vapor', 3), ('pressur', 3)]]"
137,1944,NA,,,,,,,,,,,,,,,
138,1945,NA,,,,,,,,,,,,,,,
139,1946,NA,,,,,,,,,,,,,,,
140,1947,NA,3.0,68.0,30.0,"[[('cloudi', 5), ('humid', 5), ('air', 5), ('variat', 4), ('thc', 4), ('form', 4), ('period', 3), ('mean', 3), ('stream', 3), ('paper', 3)]]","[[('cloudi', 5), ('humid', 5), ('air', 5), ('variat', 4), ('thc', 4), ('form', 4), ('period', 3), ('mean', 3), ('stream', 3), ('paper', 3), ('basi', 3), ('examin', 3), ('hour', 2), ('aperiod', 2), ('chang', 2), ('author', 2), ('previous', 2), ('relat', 1), ('explan', 1), ('day', 1), ('idea', 1), ('typhoon', 1), ('stratif', 1), ('surfac', 1), ('present', 1), ('result', 1), ('transfer', 1), ('heat', 1), ('number', 1), ('hydrograph', 1)]]","[[('cloudi', 5), ('humid', 5), ('air', 5), ('variat', 4), ('thc', 4), ('form', 4), ('period', 3), ('mean', 3), ('stream', 3), ('paper', 3), ('basi', 3), ('examin', 3), ('hour', 2), ('aperiod', 2), ('chang', 2), ('author', 2), ('previous', 2), ('relat', 1), ('explan', 1), ('day', 1), ('idea', 1), ('typhoon', 1), ('stratif', 1), ('surfac', 1), ('present', 1), ('result', 1), ('transfer', 1), ('heat', 1), ('number', 1), ('hydrograph', 1)]]","[[('cloudi', 5), ('humid', 5), ('air', 5), ('variat', 4), ('thc', 4), ('form', 4), ('period', 3), ('mean', 3), ('stream', 3), ('paper', 3), ('basi', 3), ('examin', 3), ('hour', 2), ('aperiod', 2), ('chang', 2), ('author', 2), ('previous', 2), ('relat', 1), ('explan', 1), ('day', 1), ('idea', 1), ('typhoon', 1), ('stratif', 1), ('surfac', 1), ('present', 1), ('result', 1), ('transfer', 1), ('heat', 1), ('number', 1), ('hydrograph', 1)]]",0.0,,3.0,"[[('cloudi', 5), ('humid', 5), ('air', 5)]]",6.0,"[[('cloudi', 5), ('humid', 5), ('air', 5), ('variat', 4), ('thc', 4), ('form', 4)]]",8.0,"[[('cloudi', 5), ('humid', 5), ('air', 5), ('variat', 4), ('thc', 4), ('form', 4), ('period', 3), ('mean', 3)]]"
141,1948,NA,1.0,27.0,7.0,"[[('barometr', 7), ('valu', 6), ('pressur', 6), ('hour', 3), ('extend', 3), ('high', 1), ('tide', 1)]]","[[('barometr', 7), ('valu', 6), ('pressur', 6), ('hour', 3), ('extend', 3), ('high', 1), ('tide', 1)]]","[[('barometr', 7), ('valu', 6), ('pressur', 6), ('hour', 3), ('extend', 3), ('high', 1), ('tide', 1)]]","[[('barometr', 7), ('valu', 6), ('pressur', 6), ('hour', 3), ('extend', 3), ('high', 1), ('tide', 1)]]",0.0,,1.0,"[[('barometr', 7)]]",1.0,"[[('barometr', 7)]]",2.0,"[[('barometr', 7), ('valu', 6)]]"
142,1949,NA,1.0,20.0,15.0,"[[('weather', 3), ('design', 2), ('forc', 2), ('frontal', 2), ('transocean', 1), ('air', 1), ('histor', 1), ('state', 1), ('sea', 1), ('applic', 1)]]","[[('weather', 3), ('design', 2), ('forc', 2), ('frontal', 2), ('transocean', 1), ('air', 1), ('histor', 1), ('state', 1), ('sea', 1), ('applic', 1), ('local', 1), ('transport', 1), ('engin', 1), ('zone', 1), ('map', 1)]]","[[('weather', 3), ('design', 2), ('forc', 2), ('frontal', 2), ('transocean', 1), ('air', 1), ('histor', 1), ('state', 1), ('sea', 1), ('applic', 1), ('local', 1), ('transport', 1), ('engin', 1), ('zone', 1), ('map', 1)]]","[[('weather', 3), ('design', 2), ('forc', 2), ('frontal', 2), ('transocean', 1), ('air', 1), ('histor', 1), ('state', 1), ('sea', 1), ('applic', 1), ('local', 1), ('transport', 1), ('engin', 1), ('zone', 1), ('map', 1)]]",0.0,,2.0,"[[('weather', 3), ('design', 2)]]",3.0,"[[('weather', 3), ('design', 2), ('forc', 2)]]",4.0,"[[('weather', 3), ('design', 2), ('forc', 2), ('frontal', 2)]]"
143,1950,NA,,,,,,,,,,,,,,,
144,1951,NA,,,,,,,,,,,,,,,
145,1952,NA,,,,,,,,,,,,,,,
146,1953,NA,,,,,,,,,,,,,,,
147,1954,NA,3.0,67.0,30.0,"[[('temperatur', 6), ('chang', 5), ('heat', 4), ('growth', 4), ('conduct', 3), ('sediment', 3), ('upper', 3), ('differ', 3), ('structur', 3), ('gradual', 3)]]","[[('temperatur', 6), ('chang', 5), ('heat', 4), ('growth', 4), ('conduct', 3), ('sediment', 3), ('upper', 3), ('differ', 3), ('structur', 3), ('gradual', 3), ('ocean', 3), ('flow', 2), ('measur', 2), ('thermal', 2), ('gradient', 2), ('past', 2), ('layer', 2), ('contin', 2), ('basic', 2), ('floor', 1), ('high', 1), ('rate', 1), ('sedimentari', 1), ('column', 1), ('undisturb', 1), ('pilot', 1), ('climat', 1), ('possibl', 1), ('deep', 1), ('basin', 1)]]","[[('temperatur', 6), ('chang', 5), ('heat', 4), ('growth', 4), ('conduct', 3), ('sediment', 3), ('upper', 3), ('differ', 3), ('structur', 3), ('gradual', 3), ('ocean', 3), ('flow', 2), ('measur', 2), ('thermal', 2), ('gradient', 2), ('past', 2), ('layer', 2), ('contin', 2), ('basic', 2), ('floor', 1), ('high', 1), ('rate', 1), ('sedimentari', 1), ('column', 1), ('undisturb', 1), ('pilot', 1), ('climat', 1), ('possibl', 1), ('deep', 1), ('basin', 1)]]","[[('temperatur', 6), ('chang', 5), ('heat', 4), ('growth', 4), ('conduct', 3), ('sediment', 3), ('upper', 3), ('differ', 3), ('structur', 3), ('gradual', 3), ('ocean', 3), ('flow', 2), ('measur', 2), ('thermal', 2), ('gradient', 2), ('past', 2), ('layer', 2), ('contin', 2), ('basic', 2), ('floor', 1), ('high', 1), ('rate', 1), ('sedimentari', 1), ('column', 1), ('undisturb', 1), ('pilot', 1), ('climat', 1), ('possibl', 1), ('deep', 1), ('basin', 1)]]",0.0,,3.0,"[[('temperatur', 6), ('chang', 5), ('heat', 4)]]",6.0,"[[('temperatur', 6), ('chang', 5), ('heat', 4), ('growth', 4), ('conduct', 3), ('sediment', 3)]]",8.0,"[[('temperatur', 6), ('chang', 5), ('heat', 4), ('growth', 4), ('conduct', 3), ('sediment', 3), ('upper', 3), ('differ', 3)]]"
148,1955,NA,,,,,,,,,,,,,,,
149,1956,NA,1.0,21.0,13.0,"[[('pentobarbit', 3), ('tandemschedul', 3), ('base', 3), ('sodium', 2), ('respons', 2), ('action', 1), ('increas', 1), ('rate', 1), ('line', 1), ('group', 1)]]","[[('pentobarbit', 3), ('tandemschedul', 3), ('base', 3), ('sodium', 2), ('respons', 2), ('action', 1), ('increas', 1), ('rate', 1), ('line', 1), ('group', 1), ('high', 1), ('differ', 1), ('experiment', 1)]]","[[('pentobarbit', 3), ('tandemschedul', 3), ('base', 3), ('sodium', 2), ('respons', 2), ('action', 1), ('increas', 1), ('rate', 1), ('line', 1), ('group', 1), ('high', 1), ('differ', 1), ('experiment', 1)]]","[[('pentobarbit', 3), ('tandemschedul', 3), ('base', 3), ('sodium', 2), ('respons', 2), ('action', 1), ('increas', 1), ('rate', 1), ('line', 1), ('group', 1), ('high', 1), ('differ', 1), ('experiment', 1)]]",0.0,,1.0,"[[('pentobarbit', 3)]]",3.0,"[[('pentobarbit', 3), ('tandemschedul', 3), ('base', 3)]]",3.0,"[[('pentobarbit', 3), ('tandemschedul', 3), ('base', 3)]]"
